,ACA FP Equity,AI FP Equity,CS FP Equity,DG FP Equity,AIR FP Equity,ALO FP Equity,BN FP Equity,BNP FP Equity,PUB FP Equity,RI FP Equity,RMS FP Equity,STM FP Equity,SU FP Equity,HO FP Equity,KER FP Equity,CA FP Equity,CAP FP Equity,DSY FP Equity,EL FP Equity,EN FP Equity,ENGI FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,TEP FP Equity,TTE FP Equity,URW NA Equity,VIE FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,MT NA Equity,ERF FP Equity,GLE FP Equity,SGO FP Equity,STLAP FP Equity,VIV FP Equity,WLN FP Equity,OR FP Equity,ORA FP Equity
2015-03-24,13.74,89.1322,23.67,55.29,60.31,27.2891,62.98,55.8,74.42,107.85,311.2,8.994,73.53,52.49,174.8,31.56,76.77,12.698,108.15,37.345,18.97,83.07,65.39,93.5303,66.01,46.885,255.7,16.9501,50.36,166.45,22.77,21.6115,25.05,44.83,41.515,,6.7013,17.23,171.4,15.17
2015-03-25,13.67,88.1077,23.555,54.37,58.89,27.0898,62.16,54.85,72.81,106.55,312.2,8.6,71.9,51.69,171.97,30.985,73.99,12.4,105.3,36.945,18.87,81.53,64.38,91.6406,65.19,46.505,253.0,17.061,49.26,163.6,22.7,21.9744,24.815,44.835,40.96,,6.7115,17.4,168.95,15.175
2015-03-26,13.46,87.632,23.25,54.09,60.14,26.9228,62.23,55.12,70.81,107.9,312.1,8.278,71.71,51.53,171.97,30.99,75.11,12.4,104.6,36.885,18.645,83.85,64.26,90.8847,63.13,46.59,249.5,16.9067,49.44,162.35,22.96,21.4115,24.425,44.29,40.565,,6.6752,17.15,169.0,14.935
2015-03-27,13.61,87.9247,23.53,54.24,60.41,26.8487,62.92,56.19,71.02,110.45,316.5,8.424,72.13,51.91,171.22,31.22,76.63,12.466,106.3,36.62,18.77,83.69,64.15,91.193,62.2,46.595,253.05,17.4226,49.995,162.25,22.935,20.4926,24.5,44.655,40.95,,6.5981,17.0,172.15,15.045
2015-03-30,13.895,88.8394,23.75,54.14,61.19,26.9924,62.69,57.26,72.31,111.15,314.85,8.731,72.34,51.91,171.83,31.295,78.12,12.662,107.35,36.565,18.705,86.08,64.96,92.1976,63.77,47.0,256.2,17.331,50.7,164.5,23.29,20.6112,25.025,45.63,40.965,,6.7159,17.075,172.55,15.14
2015-03-31,13.675,87.6686,23.455,53.23,60.44,26.64,62.62,56.57,71.83,110.15,328.4,8.696,72.35,51.7,168.99,31.09,76.37,12.628,106.8,36.54,18.405,84.77,65.0,91.4317,63.81,46.275,251.05,16.9839,50.34,164.15,23.1525,20.4135,25.075,44.97,40.895,,6.7231,16.895,171.35,14.965
2015-04-01,14.1,87.9613,23.8,54.13,60.91,26.8487,62.84,57.03,71.48,110.2,331.45,8.576,73.11,52.32,168.02,31.18,76.75,12.344,107.25,36.535,18.54,83.37,65.65,92.4263,65.11,46.37,250.75,17.0032,51.34,163.3,23.185,20.1529,25.065,45.655,41.505,,6.8322,17.15,171.3,14.965
2015-04-02,14.105,87.6686,23.915,54.26,60.76,26.6818,63.4,57.24,72.26,111.25,333.75,8.612,73.89,52.32,162.86,31.19,76.9,12.338,108.9,37.075,18.505,84.66,65.95,93.222,65.65,45.845,249.1,16.9887,51.54,163.55,23.31,20.1576,25.585,45.92,41.805,,6.7537,17.2,172.7,15.085
2015-04-03,14.105,87.6686,23.915,54.26,60.76,26.6818,63.4,57.24,72.26,111.25,333.75,8.612,73.89,52.32,162.86,31.19,76.9,12.338,108.9,37.075,18.505,84.66,65.95,93.222,65.65,45.845,249.1,16.9887,51.54,163.55,23.31,20.1576,25.585,45.92,41.805,,6.7537,17.2,172.7,15.085
2015-04-06,14.105,87.6686,23.915,54.26,60.76,26.6818,63.4,57.24,72.26,111.25,333.75,8.612,73.89,52.32,162.86,31.19,76.9,12.338,108.9,37.075,18.505,84.66,65.95,93.222,65.65,45.845,249.1,16.9887,51.54,163.55,23.31,20.1576,25.585,45.92,41.805,,6.7537,17.2,172.7,15.085
2015-04-07,14.125,88.7663,24.17,54.56,60.4,26.9507,64.18,57.18,73.25,112.75,337.45,8.621,74.99,53.13,164.16,31.59,78.52,12.57,110.5,37.55,19.4,85.26,66.21,95.2609,65.79,47.595,252.35,17.3165,52.31,165.55,23.23,20.9578,25.66,46.445,42.225,,6.8365,17.2,175.15,15.33
2015-04-08,14.135,88.1077,24.095,54.51,60.04,27.0202,64.3,57.67,73.1,112.45,340.95,8.507,72.62,53.53,163.88,31.695,77.84,12.402,110.15,37.345,19.245,86.07,66.22,95.0818,65.95,47.05,253.35,17.4322,52.25,167.5,23.375,20.7787,25.705,46.49,42.525,,6.8787,17.5,174.05,15.19
2015-04-09,14.25,89.6078,24.355,55.27,61.27,27.2567,64.96,57.93,74.63,113.8,342.3,8.654,73.37,53.97,166.67,32.14,79.2,12.698,111.45,37.53,19.275,88.3,66.88,96.6334,66.3,47.965,254.55,17.9239,52.72,170.8,23.8825,20.7043,26.125,46.565,43.06,,6.9441,17.95,175.95,15.5
2015-04-10,14.185,89.7176,24.475,55.04,61.91,27.5951,64.95,57.25,75.48,113.95,345.35,8.904,73.62,54.66,164.07,32.795,79.5,12.746,113.05,37.765,19.265,89.44,68.15,98.2148,67.41,48.52,256.8,18.1505,52.67,172.4,24.03,20.9997,26.755,46.185,42.02,,7.0168,17.95,178.95,15.45
2015-04-13,14.15,89.4615,24.415,56.56,62.79,27.7667,65.11,57.62,74.84,113.4,341.5,9.037,73.28,54.95,163.41,32.74,79.62,12.778,113.15,37.875,19.245,89.32,68.27,98.4435,66.14,48.76,253.7,18.1553,52.88,172.55,23.9675,20.6647,26.5,46.625,42.335,,7.0458,17.9,178.65,15.955
2015-04-14,13.98,89.2053,24.16,56.45,61.13,27.5673,64.82,56.8,73.72,113.3,339.7,8.873,72.11,54.38,162.16,32.56,79.56,12.78,112.85,37.74,19.145,89.13,67.64,97.3893,65.24,48.73,255.05,18.0204,52.48,168.25,23.625,21.3533,26.295,45.73,41.7,,6.963,17.89,177.6,15.87
2015-04-15,14.215,89.681,24.27,56.67,62.73,27.762,66.31,57.14,73.9,115.0,338.65,8.833,72.48,54.4,162.44,32.58,78.82,12.678,112.75,38.075,19.365,89.59,68.24,97.7274,65.72,49.74,254.25,18.3192,52.77,171.2,24.105,21.9675,26.33,46.045,41.75,,6.9339,18.92,178.1,15.825
2015-04-16,13.79,88.9126,23.995,56.7,63.97,27.1129,66.8,56.33,73.55,114.75,339.25,8.835,70.97,53.87,163.55,32.38,79.3,12.56,112.1,37.74,19.47,92.22,67.89,96.4942,67.1,49.31,252.55,18.3144,51.91,169.05,24.1725,21.3975,26.56,45.6,41.225,,6.8976,19.0,178.75,15.835
2015-04-17,13.4,87.7052,23.435,55.8,62.18,26.8997,66.08,55.11,72.81,112.5,335.1,8.509,69.62,53.73,163.0,32.015,77.09,12.47,109.25,37.0,19.315,90.41,67.21,95.1316,62.26,48.87,249.9,18.3096,50.88,165.45,23.9675,20.7275,25.9,44.83,40.61,,6.8118,19.18,176.3,15.405
